,City,Clouds,Humidity,Lat,Temp,Wind
0,Susa,97,90,5.45,65.55,1.63
1,Punta Arenas,90,93,-53.16,41.0,13.87
2,Dhidhdhoo,100,70,6.88,83.19,2.82
3,Makakilo City,75,83,21.35,82.0,10.29
4,Kapaa,40,74,22.08,82.15,10.29
5,Avarua,3,94,-21.21,69.8,2.24
6,Mataura,100,87,-46.19,44.01,5.01
7,Port Elizabeth,75,74,39.31,80.76,13.87
8,Auki,75,74,12.18,75.81,13.87
9,Ushuaia,75,93,-54.81,37.4,23.04
10,Campbell River,75,72,50.02,67.32,6.93
11,Mar del Plata,0,61,-46.43,43.59,6.62
12,Jamestown,99,84,-33.21,50.79,18.19
13,Kralendijk,40,66,12.15,86.0,17.22
14,Rikitea,26,82,-23.12,73.65,16.73
15,Barcelona,0,69,41.38,79.21,14.99
16,Naziya,80,61,59.84,50.0,6.35
17,Qaanaaq,0,49,77.48,45.21,7.92
18,Bethel,90,82,60.79,65.26,6.93
19,Pevek,34,73,69.7,46.65,7.96
20,Busselton,65,74,-33.64,44.02,10.58
21,Atuona,30,78,-9.8,81.21,20.2
22,Suffolk,40,62,36.73,90.0,11.41
23,Rome,20,73,41.89,74.19,3.36
24,East London,0,72,-33.02,56.19,7.38
25,Yellowknife,90,72,62.45,60.8,9.17
26,Tezu,100,97,27.93,69.15,5.5
27,Hassleholm,44,59,56.16,61.75,5.82
28,Hilo,20,58,19.71,80.42,3.36
29,Victoria Point,0,76,-27.58,47.25,3.36
30,Cape Town,40,87,-33.93,56.89,5.82
31,Lavrentiya,3,37,65.58,70.59,7.18
32,Valparaiso,1,69,41.47,79.27,9.17
33,Bluff,0,56,-23.58,54.21,2.95
34,Albany,90,94,42.65,78.55,4.7
35,Dawson Creek,20,46,55.76,71.24,5.82
36,Kirakira,100,84,-10.46,79.23,8.57
37,Ribeira Grande,20,73,38.52,73.4,3.36
38,Pyay,100,87,18.82,77.25,3.78
39,Knysna,98,82,-34.04,57.2,4.7
40,Sanmenxia,100,79,34.77,70.77,2.19
41,Beitbridge,0,33,-22.21,59.79,7.76
42,Vanimo,55,81,-2.67,78.87,7.45
43,Tuktoyaktuk,90,86,69.44,39.2,13.87
44,Hithadhoo,41,75,-0.6,84.27,12.06
45,Khatanga,1,60,71.98,50.25,8.3
46,Bathsheba,40,62,13.22,87.8,17.22
47,Dunedin,100,91,-45.87,46.0,17.0
48,Castro,90,93,-42.48,48.2,11.41
49,Victoria,75,88,5.28,76.73,3.58
50,Batemans Bay,12,88,-35.71,47.98,7.0
51,Sao Felix do Xingu,21,63,-6.64,80.85,3.69
52,Panacan,75,94,7.15,75.61,2.24
53,Tulun,100,92,54.56,56.37,8.39
54,Jericho,0,74,31.86,78.98,3.36
55,Leningradskiy,6,68,69.38,50.25,7.67
56,Barra do Garcas,0,75,-15.89,44.6,5.82
57,Ayorou,67,48,14.73,86.97,22.37
58,Barrow,100,71,-38.31,53.31,2.37
59,Tsiroanomandidy,4,56,-18.77,61.05,1.77
60,Broome,20,77,52.47,67.96,4.7
61,Bambous Virieux,20,88,-20.34,66.09,8.05
62,Port Hedland,100,30,-20.31,68.0,9.17
63,Carnarvon,0,22,-30.97,54.75,10.07
64,Sitka,96,31,37.17,89.13,4.05
65,Maceio,75,83,-9.67,77.0,13.87
66,Constantine,0,53,36.36,77.0,10.29
67,Sao Filipe,5,85,14.9,71.85,15.79
68,Wilmington Island,1,62,32.0,89.38,10.29
69,Hobart,20,65,-42.88,44.67,19.46
70,Nabire,80,96,-3.36,68.07,5.57
71,Issenye,99,71,12.51,79.59,14.14
72,Wattegama,90,91,7.35,73.11,3.91
73,Aswan,0,21,24.09,95.0,9.17
74,Cabo San Lucas,5,43,22.89,87.98,6.93
75,Cidreira,69,69,-30.17,61.05,6.58
76,Hualmay,0,87,-11.1,62.67,13.58
77,Praia da Vitoria,20,78,38.73,73.69,4.07
78,Geraldton,75,43,49.72,71.6,8.05
79,Bustehrad,0,55,50.16,65.84,2.24
80,Vostok,96,92,46.45,61.59,2.73
81,Boundiali,35,94,9.53,72.93,3.85
82,Cherskiy,99,45,68.75,73.65,4.07
83,Iqaluit,90,81,63.75,44.31,6.93
84,Saskylakh,100,91,71.97,53.31,6.87
85,Vaini,96,90,15.34,76.35,2.33
86,Mahebourg,20,88,-20.41,66.09,8.05
87,Natal,40,65,-5.81,80.6,14.99
88,Kaeo,100,96,-35.1,53.01,1.99
89,Saint-Philippe,1,78,45.36,79.74,13.87
90,Tiznit,0,83,29.7,68.43,3.36
91,Panzhihua,96,94,26.59,63.75,1.3
92,Wenling,94,96,28.38,76.51,1.19
93,Kongolo,58,33,-5.39,77.07,4.56
94,Concarneau,90,72,47.88,65.84,6.93
95,New Norfolk,20,65,-42.78,44.67,19.46
96,Kaitangata,100,87,-46.28,39.99,4.0
97,Hami,100,33,42.84,77.25,8.05
98,Georgetown,40,79,6.8,83.23,6.93
99,Talnakh,0,62,69.49,53.6,6.71
100,Szczytno,0,71,53.57,57.2,3.36
101,Benjamin Hill,89,15,30.17,103.5,3.0
102,Toora-Khem,100,98,52.47,52.23,3.13
103,Dali,100,63,34.79,73.47,1.57
104,Puerto Ayora,40,57,-0.74,77.34,16.11
105,Minbu,100,85,20.18,76.17,4.38
106,Katsuura,90,94,33.93,71.69,5.82
107,Nizwa,55,30,22.93,78.33,1.83
108,Port Macquarie,0,75,-31.43,41.54,3.31
109,Lakes Entrance,20,49,-37.88,55.27,5.01
110,Madimba,100,97,4.42,71.85,0.45
111,Yar-Sale,100,95,66.83,56.55,7.58
112,Ahuimanu,75,83,21.44,81.9,10.29
113,Cumberland,1,61,41.97,79.25,6.93
114,Clearlake,1,37,38.96,84.09,8.05
115,Bukene,60,46,-4.23,70.77,9.33
116,Kodiak,75,18,39.95,83.01,11.41
117,Namibe,87,81,-15.19,65.37,7.85
118,Klaksvik,54,100,62.23,51.8,10.29
119,Sa Kaeo,100,89,13.8,74.55,4.21
120,Talara,0,290,-4.58,62.6,17.22
121,Saldanha,0,36,41.42,80.85,4.45
122,Boa Vista,0,63,2.82,83.73,3.49
123,Koutsouras,0,77,35.03,71.13,5.84
124,Lampazos de Naranjo,69,47,27.02,86.79,12.88
125,Kerugoya,100,97,-0.5,58.17,4.72
126,Fortuna,0,61,38.18,79.48,1.12
127,Taltal,4,76,-25.41,55.83,4.14
128,Oranjemund,0,86,-28.55,56.19,8.19
129,Kruisfontein,26,88,-34.0,54.93,16.04
130,Bereda,40,88,43.27,68.16,8.05
131,Zhigansk,100,55,66.77,71.13,6.22
132,Sapouy,24,61,11.55,80.67,5.37
133,Fairlie,1,41,33.31,93.15,8.05
134,Port Alfred,0,85,-33.59,64.0,5.99
135,Salalah,90,88,17.01,80.6,6.93
136,Bacolod,49,85,10.68,79.23,4.34
137,Buraydah,0,16,26.33,95.0,11.41
138,Caravelas,22,70,-17.73,72.03,5.57
139,Berlevag,0,81,70.86,45.81,9.17
140,Henties Bay,0,93,-22.12,55.0,3.0
141,Sobolevo,100,86,54.43,51.33,3.98
142,Constitucion,75,27,23.99,80.1,9.17
143,Chuy,100,75,-33.69,56.73,7.7
144,Kitab,0,41,39.12,78.8,2.24
145,Beira,40,88,43.2,66.51,8.05
146,Butaritari,40,73,3.07,84.63,11.92
147,Chokurdakh,100,88,70.62,56.37,8.99
148,Westport,75,57,41.14,78.96,13.87
149,San Policarpo,100,85,12.18,78.15,5.01
150,Mitchell,1,45,43.71,82.58,12.75
151,Zheleznodorozhnyy,75,87,55.75,55.4,4.47
152,Kahului,20,45,20.89,80.82,11.41
153,Qaqortoq,20,62,60.72,53.6,6.93
154,Banjar,100,95,-7.37,68.79,1.3
155,Luderitz,0,77,-26.65,57.27,6.44
156,Severo-Kurilsk,100,97,50.68,43.05,8.08
157,Sao Sepe,0,42,-30.16,80.6,6.93
158,Kavaratti,100,82,10.57,83.01,12.53
159,Mekhe,53,74,15.11,78.8,13.87
160,Ponta do Sol,0,52,-20.63,60.15,1.39
161,Yumen,0,23,40.29,72.75,6.98
162,Chiang Khong,20,83,20.27,77.2,3.36
163,Esperance,75,100,-33.86,51.8,9.17
164,Balkanabat,0,52,39.51,85.89,11.12
165,Binzhou,0,78,37.38,75.99,3.36
166,Hermanus,100,92,-34.42,57.99,1.99
167,Urambo,0,40,-5.07,67.89,4.09
168,Thompson,90,82,55.74,59.0,5.82
169,Airai,0,85,-8.93,66.09,5.39
170,Rio Gallegos,90,100,-51.62,39.2,13.18
171,Bredasdorp,23,71,-34.53,57.61,6.93
172,Longyearbyen,75,81,78.22,44.6,10.29
173,Kibre Mengist,84,99,5.87,53.85,1.1
174,Komsomolskiy,100,90,67.55,55.11,7.27
175,Ures,91,26,30.73,100.0,8.01
176,Aklavik,75,61,68.22,50.0,9.17
177,Tarangnan,56,83,11.9,79.59,5.99
178,Tiksi,100,70,71.64,52.59,12.21
179,Luangwa,0,47,-15.62,55.83,2.53
180,Isangel,20,83,-19.55,73.4,12.55
181,Ranong,100,73,9.96,82.11,5.59
182,Khandbari,100,93,27.38,57.27,1.81
183,Zharkent,0,75,44.17,52.95,2.42
184,Gat,29,74,14.69,78.8,13.87
185,Adre,100,77,13.47,72.93,9.44
186,Stranda,3,87,62.31,57.54,14.99
187,Mantua,40,57,45.16,74.98,4.7
188,Colesberg,0,26,-30.72,49.35,7.52
189,Tasiilaq,40,81,65.61,42.8,9.17
190,Leo,23,66,11.1,80.85,7.45
191,Dikson,68,97,73.51,33.51,8.43
192,Suhbaatar,2,90,50.23,61.23,4.03
193,Kununurra,51,76,-15.77,55.4,13.56
194,Valley City,1,61,46.92,79.9,17.22
195,Zelenoborsk,27,78,61.47,55.83,6.04
196,Nago,40,57,45.88,63.07,4.7
197,Kutum,100,80,14.2,68.25,10.04
198,San Patricio,10,79,-26.98,70.95,5.55
199,Upernavik,0,79,72.79,45.93,7.05
200,Abu Dhabi,0,55,24.47,91.53,4.7
201,Kidal,76,23,18.44,97.77,12.68
202,Provideniya,75,81,64.42,50.0,2.93
203,Harper,1,45,30.3,90.57,5.82
204,Kapit,100,98,2.02,72.57,2.3
205,Polunochnoye,52,96,60.87,50.97,3.98
206,Carbondale,1,48,38.82,83.88,14.99
207,Kavieng,100,80,-2.57,81.75,17.16
208,Yeppoon,0,93,-23.13,48.2,1.72
209,Harindanga,40,94,22.04,82.4,9.17
210,Te Anau,100,89,-45.41,41.25,3.85
211,Maun,0,24,-19.99,68.0,9.17
212,Sioux Lookout,40,44,50.1,77.0,10.29
213,Tanah Merah,42,98,-6.08,65.91,3.33
214,Kupang,0,74,-10.16,75.27,16.4
215,Nemuro,100,90,43.32,53.67,14.07
216,Qixia,0,85,37.31,69.15,3.87
217,Floresti,100,86,47.89,54.39,7.49
218,Labuhan,4,95,-2.54,70.59,1.03
219,Paamiut,36,91,61.99,43.23,7.96
220,Faanui,2,70,-16.48,78.15,9.22
221,Arraial do Cabo,0,64,-22.97,73.4,9.17
222,Meulaboh,70,81,4.14,81.93,7.65
223,Deputatskiy,67,77,69.3,61.05,1.25
224,Vangaindrano,46,84,-23.35,62.49,2.04
225,Haines Junction,100,38,60.75,68.07,8.81
226,Saint George,40,60,39.45,69.8,6.93
227,La Ronge,90,93,55.1,57.2,4.7
228,Yong Peng,0,92,2.01,72.39,1.74
229,Dhangadhi,98,91,28.7,71.49,1.21
230,Adrar,24,12,27.87,111.2,9.17
231,Anadyr,0,63,64.73,64.22,5.57
232,Concepcion del Uruguay,100,66,-32.48,72.21,1.99
233,Moose Factory,90,77,51.26,59.0,11.41
234,Khash,22,21,28.22,70.77,3.09
235,Loa Janan,31,99,-0.58,71.67,1.88
236,Chifeng,59,72,42.27,60.51,2.08
237,Necochea,100,88,-38.55,57.42,1.99
238,Manzil Kamil,0,88,35.62,82.9,8.05
239,Bria,74,97,6.54,66.81,1.77
240,Sindou,14,87,10.66,75.63,4.03
241,Bani Walid,0,56,31.76,76.89,3.27
242,Novominskaya,100,68,46.32,64.29,3.89
243,Aksay,69,57,51.17,66.45,11.14
244,Ngunguru,100,96,-35.62,53.01,1.99
245,Eureka,75,88,40.8,70.88,9.17
246,Oranjestad,40,66,12.52,87.8,21.92
247,Laguna,20,70,16.17,89.6,9.17
248,Inhambane,0,93,-23.87,62.6,4.21
249,Champerico,20,58,16.38,86.0,8.05
250,Orica,60,69,14.71,75.45,1.41
251,Caico,0,36,-17.24,65.73,6.93
252,Egvekinot,0,25,66.32,74.73,4.99
253,Sur,66,52,22.57,85.17,11.1
254,Ilulissat,40,81,69.22,44.6,8.05
255,Chandbali,100,74,20.77,85.17,6.26
256,Pangnirtung,75,35,66.15,73.4,8.05
257,Phangnga,20,88,8.45,77.0,2.28
258,Manado,40,94,1.49,73.4,5.48
259,Nikolskoye,40,66,59.7,48.36,2.91
